"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Bench Press (Barbell)",,"",0,"warmup",20,12,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Bench Press (Barbell)",,"",1,"warmup",40,6,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Bench Press (Barbell)",,"",2,"warmup",60,5,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Bench Press (Barbell)",,"",3,"warmup",80,4,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Bench Press (Barbell)",,"",4,"normal",100,9,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Bench Press (Barbell)",,"",5,"normal",100,9,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Bench Press (Barbell)",,"",6,"normal",100,8,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Bench Press (Barbell)",,"",7,"normal",100,8,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Triceps Dip (Weighted)",,"",0,"warmup",,6,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Triceps Dip (Weighted)",,"",1,"warmup",15,3,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Triceps Dip (Weighted)",,"",2,"normal",32.5,9,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Triceps Dip (Weighted)",,"",3,"normal",32.5,7,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Chest Fly (Machine)",,"",0,"normal",45,8,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Chest Fly (Machine)",,"",1,"normal",45,7,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Chest Fly (Machine)",,"",2,"normal",30,6,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Chest Fly (Machine)",,"",3,"normal",25,8,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Triceps Pushdown",,"",0,"warmup",50,6,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Triceps Pushdown",,"",1,"normal",68,9,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Triceps Pushdown",,"",2,"normal",68,9,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Triceps Pushdown",,"",3,"normal",68,9,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Single Arm Triceps Pushdown (Cable)",,"",0,"normal",18,7,,,
"Push","17 Oct 2025, 20:14","17 Oct 2025, 21:39","","Single Arm Triceps Pushdown (Cable)",,"",1,"normal",18,7,,,
